submitted_id	current_id	converted_id	current_symbol
FBgn0039177	FBgn0286199	FBgn0286199	shps
FBgn0259247	FBgn0286203	FBgn0286203	stw
FBgn0038341	FBgn0286071	FBgn0286071	AdamTS-A
FBgn0260441	FBgn0286213	FBgn0286213	RpS12
FBgn0035707	FBgn0286051	FBgn0286051	Rexo5
FBgn0025687	FBgn0286198	FBgn0286198	LKRSDH
FBgn0038035	FBgn0286075	FBgn0286075	DNAlig3
FBgn0051084	FBgn0051084	FBgn0051084	CR31084
FBgn0028336	FBgn0286222	FBgn0286222	Fum1
FBgn0001974	FBgn0286027	FBgn0286027	Rnmt
FBgn0037645	FBgn0286204	FBgn0286204	ich
FBgn0021818	FBgn0286070	FBgn0286070	cnk
